rank,name,symbol,price_usd,market_cap_usd,change_24h_pct
19,Monero,xmr,317.28,5857555159,-2.97
14,Cardano,ada,0.246585,9087592762,2.76
16,Hyperliquid,hype,35.66,8500267070,2.46
7,Solana,sol,80.11,45875984144,1.57
10,Dogecoin,doge,0.091491,14058243660,1.51
5,BNB,bnb,588.17,80200305409,1.19
20,Stellar,xlm,0.162624,5378147746,-1.06
17,Chainlink,link,8.66,6132309522,0.9
4,XRP,xrp,1.32,80733174108,0.69
12,WhiteBIT Coin,wbt,51.11,10908176951,-0.41
2,Ethereum,eth,2048.79,247252273814,-0.41
13,LEO Token,leo,10.05,9258583320,0.33
1,Bitcoin,btc,66781.0,1336362938703,-0.22
8,TRON,trx,0.314668,29819381616,-0.16
15,Bitcoin Cash,bch,441.42,8835740192,0.08
6,USDC,usdc,1.0,77367589744,0.02
9,Figure Heloc,figr_heloc,1.032,16959772827,0.01
11,USDS,usds,0.999864,11808282887,0.01
18,Ethena USDe,usde,0.999722,5887962422,0.01
3,Tether,usdt,0.999817,184130764503,-0.01
